date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:48:43	19787/19787	---M-Z	200	added ('OK')	text/html	etag:W/%22596f352e-4d4b%22	https://medialoot.com/preview/lumino/index.html?fbclid=IwAR3nS8swnBzLdhEbBICO0ZC_up-mK-ng7ncA66Jz90bO9eJvdBJc9PGSekI	C:/My%20Web%20Sites/medialoot/medialoot.com/preview/lumino/indexaf8e.html	(from )
14:48:43	144/144	---MCZ	200	added ('OK')	text/plain	etag:W/%225afb4866-da%22	https://medialoot.com/robots.txt		(from )
14:48:44	121200/121200	---M-Z	200	added ('OK')	text/css	etag:W/%22596f3555-1d970%22	https://medialoot.com/preview/lumino/css/bootstrap.min.css	C:/My%20Web%20Sites/medialoot/medialoot.com/preview/lumino/css/bootstrap.min.css	(from https://medialoot.com/preview/lumino/index.html?fbclid=IwAR3nS8swnBzLdhEbBICO0ZC_up-mK-ng7ncA66Jz90bO9eJvdBJc9PGSekI)
14:48:44	31000/31000	---M-Z	200	added ('OK')	text/css	etag:W/%22596f354c-7918%22	https://medialoot.com/preview/lumino/css/font-awesome.min.css	C:/My%20Web%20Sites/medialoot/medialoot.com/preview/lumino/css/font-awesome.min.css	(from https://medialoot.com/preview/lumino/index.html?fbclid=IwAR3nS8swnBzLdhEbBICO0ZC_up-mK-ng7ncA66Jz90bO9eJvdBJc9PGSekI)
14:48:45	33772/33772	---M-Z	200	added ('OK')	text/css	etag:W/%22596f3555-83ec%22	https://medialoot.com/preview/lumino/css/datepicker3.css	C:/My%20Web%20Sites/medialoot/medialoot.com/preview/lumino/css/datepicker3.css	(from https://medialoot.com/preview/lumino/index.html?fbclid=IwAR3nS8swnBzLdhEbBICO0ZC_up-mK-ng7ncA66Jz90bO9eJvdBJc9PGSekI)
14:48:45	24895/24895	---M-Z	200	added ('OK')	text/css	etag:W/%22596f354d-613f%22	https://medialoot.com/preview/lumino/css/styles.css	C:/My%20Web%20Sites/medialoot/medialoot.com/preview/lumino/css/styles.css	(from https://medialoot.com/preview/lumino/index.html?fbclid=IwAR3nS8swnBzLdhEbBICO0ZC_up-mK-ng7ncA66Jz90bO9eJvdBJc9PGSekI)
14:48:46	25578/25578	---M-Z	404	error ('Not%20Found')	text/html	date:Fri,%2015%20Mar%202019%2009:03:46%20GMT	https://medialoot.com/preview/lumino/profile.html	C:/My%20Web%20Sites/medialoot/medialoot.com/preview/lumino/profile.html	(from https://medialoot.com/preview/lumino/index.html?fbclid=IwAR3nS8swnBzLdhEbBICO0ZC_up-mK-ng7ncA66Jz90bO9eJvdBJc9PGSekI)
14:48:46	19787/19787	---M-Z	200	added ('OK')	text/html	etag:W/%22596f352e-4d4b%22	https://medialoot.com/preview/lumino/index.html	C:/My%20Web%20Sites/medialoot/medialoot.com/preview/lumino/index.html	(from https://medialoot.com/preview/lumino/index.html?fbclid=IwAR3nS8swnBzLdhEbBICO0ZC_up-mK-ng7ncA66Jz90bO9eJvdBJc9PGSekI)
14:48:46	24397/24397	---M-Z	200	added ('OK')	text/html	etag:W/%22596f3531-5f4d%22	https://medialoot.com/preview/lumino/widgets.html	C:/My%20Web%20Sites/medialoot/medialoot.com/preview/lumino/widgets.html	(from https://medialoot.com/preview/lumino/index.html?fbclid=IwAR3nS8swnBzLdhEbBICO0ZC_up-mK-ng7ncA66Jz90bO9eJvdBJc9PGSekI)
14:48:46	16052/16052	---M-Z	200	added ('OK')	text/html	etag:W/%22596f352d-3eb4%22	https://medialoot.com/preview/lumino/charts.html	C:/My%20Web%20Sites/medialoot/medialoot.com/preview/lumino/charts.html	(from https://medialoot.com/preview/lumino/index.html?fbclid=IwAR3nS8swnBzLdhEbBICO0ZC_up-mK-ng7ncA66Jz90bO9eJvdBJc9PGSekI)
14:48:47	12004/12004	---M-Z	200	added ('OK')	text/html	etag:W/%22596f3530-2ee4%22	https://medialoot.com/preview/lumino/elements.html	C:/My%20Web%20Sites/medialoot/medialoot.com/preview/lumino/elements.html	(from https://medialoot.com/preview/lumino/index.html?fbclid=IwAR3nS8swnBzLdhEbBICO0ZC_up-mK-ng7ncA66Jz90bO9eJvdBJc9PGSekI)
